id;Fecha;Fallecidos
389;30/06/1981;0
975;9/06/1981;0
1047;8/06/1981;0
974;25/05/1981;0
290;22/05/1981;0
291;22/05/1981;0
292;22/05/1981;0
387;10/05/1981;0
923;9/05/1981;0
652;5/05/1981;0
651;4/05/1981;0
235;3/05/1981;0
892;2/05/1981;0
1068;19/04/1981;0
1066;18/04/1981;0
460;28/11/1980;0
20;20/10/1980;20
141;20/10/1980;30
646;3/10/1980;0
31;15/05/1980;1
648;10/05/1980;0
647;4/05/1980;1
650;3/05/1980;4
644;28/11/1979;2
645;27/11/1979;2
385;4/11/1979;0
386;24/09/1979;0
68;6/09/1979;2
649;28/06/1979;0
550;13/06/1979;0
142;20/05/1979;1
384;10/06/1977;4
643;31/05/1977;4
985;28/04/1977;0
954;2/11/1976;0
642;28/10/1975;0
289;23/08/1975;2
383;9/06/1975;2
95;24/02/1975;10
133;23/02/1975;5
16;22/02/1975;2
158;22/02/1975;2
641;3/02/1975;18
640;28/10/1974;0
30;6/10/1974;1
637;2/10/1974;0
382;28/09/1974;50
639;6/01/1974;0
138;1/09/1973;1
288;1/09/1973;0
93;25/06/1973;10
638;24/06/1973;13
167;24/05/1972;2
98;13/05/1972;3
636;12/05/1972;4
635;3/05/1972;3
97;2/11/1971;6
634;1/11/1971;4
633;20/08/1971;0
632;21/03/1971;0
631;6/02/1971;0
630;2/02/1971;0
629;9/10/1970;0
48;13/08/1970;2
287;16/05/1969;0
628;6/05/1969;0
973;5/06/1967;0
972;24/09/1966;1
627;23/05/1966;1
11;22/03/1966;2
180;22/03/1966;2
1045;9/08/1965;1
6;1/04/1965;1
90;1/04/1965;1
626;3/03/1965;1
13;25/06/1963;1
193;25/06/1963;1
174;7/03/1963;1
197;7/03/1963;1
7;20/10/1960;2
187;20/10/1960;2
625;25/01/1960;1
8;22/02/1958;1
624;25/11/1955;0
623;27/10/1955;0
175;12/07/1954;100
621;1/07/1954;0
620;18/02/1951;0
1044;17/02/1947;1
971;31/12/1946;0
619;24/10/1945;0
970;5/09/1944;0
618;25/04/1943;0
617;26/12/1942;5
616;9/09/1941;0
615;9/11/1937;2
614;25/11/1933;0
613;19/11/1933;3
612;14/11/1928;5
172;2/06/1924;1
178;2/06/1924;1
